step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,
5.0,0,0.0,0.0,6.83812248747951,0,0.0,0.5047742104006162,0,0.0,False,
10.0,0,0.0,0.0,11.876720854897812,0,0.0,0.860481559802135,0,0.0,False,
15.0,0,0.0,0.0,8.065972836759677,0,0.0,0.544660585149715,0,0.0,False,
20.0,6,18.0,0.75,6.002403038642953,6,18.0,0.3135118725677458,6,18.0,False,
25.0,10,35.0,1.2962962962962963,6.247326169655076,10,41.0,0.3797035844767727,10,41.0,False,
30.0,10,75.0,2.8846153846153846,5.827807970891608,10,75.0,0.34065185258028674,10,75.0,False,
35.0,10,117.0,4.178571428571429,5.923753525190429,10,121.0,0.32731424168904405,10,121.0,False,
40.0,16,175.0,4.861111111111111,4.927667077439221,16,175.0,0.23377962428287674,16,175.0,False,
45.0,17,250.0,6.756756756756757,6.142035705476453,17,250.0,0.34506315929287834,17,250.0,False,
50.0,17,335.0,9.054054054054054,4.357820649682049,17,335.0,0.2808986081665096,17,335.0,False,
55.0,30,444.0,10.829268292682928,2.6226446732285256,30,444.0,0.11890315319302866,30,444.0,False,
60.0,21,352.0,8.585365853658537,3.9035001648784533,21,486.0,0.2045429156847896,21,486.0,False,
65.0,17,262.0,5.954545454545454,3.9824525822751635,17,442.0,0.1860694900594738,17,442.0,False,
70.0,17,329.0,7.311111111111111,5.962957972019596,17,391.0,0.2563480655544235,17,391.0,False,
75.0,19,415.0,8.645833333333334,5.330366881997575,19,431.0,0.23199355980804898,19,431.0,False,
80.0,21,517.0,10.34,6.165628313754546,21,517.0,0.2807453336832034,21,517.0,False,
85.0,19,432.0,8.64,5.021754151628909,19,540.0,0.24369599146630938,19,540.0,False,
90.0,16,389.0,8.27659574468085,5.201524723021568,16,504.0,0.23164209611231132,16,504.0,False,
95.0,17,469.0,10.422222222222222,5.936262683022051,17,491.0,0.28489953020138736,17,491.0,False,
100.0,21,529.0,11.020833333333334,4.494176686382778,21,565.0,0.21488240554274204,21,565.0,False,
105.0,27,642.0,14.266666666666667,3.6350604561340125,27,664.0,0.16403583537559238,27,664.0,False,
110.0,25,744.0,14.588235294117647,2.718140808156169,25,774.0,0.11863033569686764,25,774.0,False,
115.0,28,852.0,16.07547169811321,4.361933177915655,28,868.0,0.23954561036009364,28,868.0,False,
120.0,26,982.0,18.528301886792452,5.586543651559009,26,982.0,0.2522757655202301,26,982.0,False,
125.0,28,926.0,17.14814814814815,3.427978998871048,28,1051.0,0.13189069493218467,28,1051.0,False,
130.0,27,896.0,16.59259259259259,4.022275347805785,27,1056.0,0.18169151473086945,27,1056.0,False,
135.0,23,985.0,17.90909090909091,4.585982535867834,23,1047.0,0.18675682908570662,23,1047.0,False,
140.0,29,1116.0,19.57894736842105,5.222702092059551,29,1128.0,0.22220549904196474,29,1128.0,False,
145.0,36,1261.0,21.74137931034483,4.415259702513603,36,1261.0,0.1403466262970016,36,1261.0,False,
150.0,33,1415.0,24.82456140350877,4.200067246844418,33,1415.0,0.16829910041687282,33,1415.0,False,
155.0,33,1580.0,29.81132075471698,4.220893536024518,33,1580.0,0.20418846216893896,33,1580.0,False,
160.0,39,1757.0,31.945454545454545,2.251376010202475,39,1757.0,0.09368462248351346,39,1757.0,False,
165.0,36,1734.0,30.42105263157895,2.679842900903659,36,1871.0,0.15337179048103008,36,1871.0,False,
170.0,29,1693.0,28.216666666666665,3.3160675339332264,29,1890.0,0.15667453397478645,29,1890.0,False,
175.0,34,1826.0,28.984126984126984,4.586978368512025,34,1892.0,0.19429407058822634,34,1892.0,False,
180.0,34,1990.0,33.728813559322035,4.929085641128926,34,1993.0,0.18433518532022203,34,1993.0,False,
185.0,36,2164.0,33.292307692307695,4.478734299645366,36,2164.0,0.16360515979626256,36,2164.0,False,
190.0,33,1419.0,22.887096774193548,4.363699629653224,33,1997.0,0.20901323665493693,33,1997.0,False,
195.0,28,757.0,12.209677419354838,3.561270715688344,28,1570.0,0.1559194235193163,28,1570.0,False,
200.0,30,727.0,11.359375,3.9604402977040385,30,1105.0,0.15830756187379602,30,1105.0,False,
205.0,35,887.0,13.646153846153846,4.613742349210104,35,1010.0,0.2027595448667627,35,1010.0,False,
210.0,36,1062.0,17.129032258064516,3.7646673087743383,36,1062.0,0.10277506226837606,36,1062.0,False,
215.0,36,1138.0,19.964912280701753,3.2797398911837226,36,1204.0,0.11028997735843031,36,1204.0,False,
220.0,39,1277.0,20.596774193548388,3.0612663361082997,39,1305.0,0.10207748886546139,39,1305.0,False,
225.0,30,925.0,14.919354838709678,4.496496885793569,30,1251.0,0.2260156899873806,30,1251.0,False,
230.0,29,814.0,12.920634920634921,3.7425204569871493,29,1072.0,0.16709239636792203,29,1072.0,False,
235.0,40,977.0,14.803030303030303,3.637002670580669,40,988.0,0.11218674574722821,40,988.0,False,
240.0,37,778.0,12.548387096774194,3.2310417141596406,37,1040.0,0.10758272049100476,37,1040.0,False,
245.0,34,480.0,7.741935483870968,3.0769295468187967,34,966.0,0.12852097317740788,34,966.0,False,
250.0,32,451.0,7.274193548387097,4.042198818752191,32,812.0,0.1489101222132945,32,812.0,False,
255.0,28,507.0,7.567164179104478,4.233775009029895,28,723.0,0.15762187864891655,28,723.0,False,
260.0,28,641.0,9.426470588235293,5.702949986721705,28,772.0,0.30474018343874937,28,772.0,False,
265.0,33,782.0,11.848484848484848,5.166598324479381,33,829.0,0.24938384629568305,33,829.0,False,
270.0,31,689.0,10.765625,3.4745088186839928,31,889.0,0.13725256727738872,31,889.0,False,
275.0,30,537.0,8.80327868852459,3.3438741488513624,30,876.0,0.13148415512639866,30,876.0,False,
280.0,32,595.0,9.153846153846153,4.352520069031726,32,818.0,0.16052156264055345,32,818.0,False,
285.0,29,733.0,12.01639344262295,5.046682978010788,29,845.0,0.22089744748660528,29,845.0,False,
290.0,28,650.0,9.848484848484848,4.1282301923408635,28,877.0,0.18528743479926243,28,877.0,False,
295.0,36,760.0,11.875,3.7541246806062407,36,890.0,0.18724735587061736,36,890.0,False,
300.0,40,952.0,15.35483870967742,3.619465931193477,40,1045.0,0.16418548097412178,40,1045.0,False,
305.0,41,973.0,15.444444444444445,1.858471556410378,41,1173.0,0.08037901795041923,41,1173.0,False,
310.0,38,902.0,14.09375,2.628651359070598,38,1229.0,0.12427653764371203,38,1229.0,False,
315.0,36,1011.0,14.652173913043478,3.709043643235321,36,1229.0,0.1396564899106567,36,1229.0,False,
