step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.692966183554382,0,0.0,0.4174438574260124,0,0.0
10.0,0,0.0,0.0,12.100105285478739,0,0.0,0.8580576901430429,0,0.0
15.0,0,0.0,0.0,8.453010434096557,0,0.0,0.5818159708971646,0,0.0
20.0,7,18.0,0.75,5.355209177808128,7,18.0,0.28298375140058457,7,18.0
25.0,12,51.0,1.8888888888888888,6.265419362417789,12,51.0,0.39199113627592674,12,51.0
30.0,12,99.0,3.6666666666666665,5.360517971863749,12,99.0,0.3123233692626968,12,99.0
35.0,11,90.0,3.2142857142857144,5.196538822434985,11,132.0,0.3075354775269234,11,132.0
40.0,15,132.0,3.473684210526316,4.951906769637068,15,132.0,0.22817606119300254,15,132.0
45.0,13,194.0,4.85,7.610193311597368,13,194.0,0.3965711177130998,13,194.0
50.0,10,138.0,3.45,6.44856779711957,10,194.0,0.3721667822950826,10,194.0
55.0,18,201.0,5.153846153846154,4.493170324756063,18,201.0,0.19129036927969056,18,201.0
60.0,16,280.0,7.368421052631579,5.699444993413142,16,284.0,0.2579013041485821,16,284.0
65.0,18,366.0,9.15,5.517300461970687,18,366.0,0.22574181197812881,18,366.0
70.0,21,465.0,12.567567567567568,4.503339682586194,21,465.0,0.17269362036362274,21,465.0
75.0,24,580.0,13.80952380952381,3.2211401701252,24,580.0,0.15307872612491089,24,580.0
80.0,29,715.0,16.25,3.0236643875215994,29,715.0,0.2099497822728889,29,715.0
85.0,36,869.0,18.104166666666668,2.601140014642981,36,869.0,0.18391118594746006,36,869.0
90.0,32,815.0,16.3,1.9412476122371216,32,924.0,0.11541599255781823,32,924.0
95.0,36,981.0,18.50943396226415,3.0656803360639646,36,985.0,0.14709981531220626,36,985.0
100.0,36,779.0,13.203389830508474,2.4036170666652876,36,1029.0,0.08362170372791829,36,1029.0
105.0,29,479.0,8.553571428571429,3.3056409025083155,29,946.0,0.14804370891328936,29,946.0
110.0,24,346.0,5.492063492063492,2.730526067964994,24,987.0,0.09941040191987033,24,987.0
115.0,30,405.0,6.136363636363637,3.4009594515252144,30,1103.0,0.16652981104632522,30,1103.0
120.0,34,563.0,9.080645161290322,2.6641184642476086,34,1261.0,0.1553544118518526,34,1261.0
