step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,
5.0,0,0.0,0.0,6.717148271754073,0,0.0,0.5057966128181053,0,0.0,False,
10.0,0,0.0,0.0,11.520444990878513,0,0.0,0.8525461155271495,0,0.0,False,
15.0,0,0.0,0.0,8.054379983754654,0,0.0,0.5619655953592855,0,0.0,False,
20.0,8,25.0,1.0416666666666667,6.23750852451609,8,25.0,0.3348560427887561,8,25.0,False,
25.0,10,35.0,1.2962962962962963,6.159990356782317,10,45.0,0.37549440971483944,10,45.0,False,
30.0,10,76.0,2.923076923076923,5.827255380480078,10,76.0,0.34751872696252356,10,76.0,False,
35.0,11,119.0,4.25,5.70515530183983,11,120.0,0.3212334380738502,11,120.0,False,
40.0,17,181.0,5.027777777777778,4.858660230696746,17,181.0,0.2487890544769396,17,181.0,False,
45.0,16,254.0,6.684210526315789,5.96411029052822,16,254.0,0.3394401347369215,16,254.0,False,
50.0,20,346.0,9.35135135135135,3.8745994677025446,20,346.0,0.269103507466763,20,346.0,False,
55.0,30,459.0,10.928571428571429,2.614945104581203,30,459.0,0.11441358122830525,30,459.0,False,
60.0,22,371.0,8.833333333333334,3.76294544798245,22,505.0,0.19641553193228278,22,505.0,False,
65.0,15,281.0,6.2444444444444445,4.527372811028359,15,408.0,0.21046155220016172,15,408.0,False,
70.0,16,348.0,7.565217391304348,6.192816781475426,16,406.0,0.2891985299937026,16,406.0,False,
75.0,16,292.0,6.083333333333333,4.4119551741055805,16,404.0,0.20508765819041166,16,404.0,False,
80.0,16,320.0,6.2745098039215685,6.011356130467246,16,384.0,0.31926536506669406,16,384.0,False,
85.0,22,406.0,7.96078431372549,6.223842131470751,22,436.0,0.3098114971876982,22,436.0,False,
90.0,22,508.0,10.808510638297872,4.931481018024118,22,538.0,0.1457686196969605,22,538.0,False,
95.0,28,638.0,13.574468085106384,4.506274674297001,28,668.0,0.19749030539358547,28,668.0,False,
100.0,28,751.0,15.97872340425532,2.997220194999684,28,791.0,0.16850531319401232,28,791.0,False,
105.0,33,903.0,19.630434782608695,2.646029490385538,33,933.0,0.12581265110268824,33,933.0,False,
110.0,30,869.0,16.09259259259259,2.5792052476122764,30,1009.0,0.11345386455378914,30,1009.0,False,
115.0,28,750.0,13.392857142857142,4.00685668587244,28,939.0,0.1982148371470853,28,939.0,False,
120.0,20,809.0,14.446428571428571,5.727705590678421,20,933.0,0.29653839459472303,20,933.0,False,
125.0,24,922.0,15.89655172413793,5.021465949083345,24,943.0,0.1966102718414403,24,943.0,False,
130.0,31,1064.0,18.666666666666668,5.0452490699078085,31,1064.0,0.21967141883956828,31,1064.0,False,
135.0,32,1218.0,21.75,4.147355536602374,32,1218.0,0.1418284317702492,32,1218.0,False,
140.0,35,1385.0,25.181818181818183,3.7731096130060915,35,1385.0,0.1638839163957582,35,1385.0,False,
145.0,39,1325.0,23.24561403508772,2.64727213237738,39,1472.0,0.0959363819997451,39,1472.0,False,
150.0,25,1260.0,21.724137931034484,4.528463496082062,25,1435.0,0.22740955350979467,25,1435.0,False,
